category_name,category_reference,item_id,item_name,offer,old_price,price,quantity
Grocery & Staples,https://grofers.com/cn/grocery-staples/cid/16,1,Fortune Premium Kachi Ghani Pure Mustard Oil (Pouch),28% OFF,"₹,138","₹,98",1 lt
Grocery & Staples,https://grofers.com/cn/grocery-staples/cid/16,2,Chana Dal,38% OFF,"₹,90","₹,55",1 kg
Grocery & Staples,https://grofers.com/cn/grocery-staples/cid/16,3,Aashirvaad Shudh Chakki Whole Wheat Atta + B Natural Mango Magic Juice Combo,18% OFF,"₹,429","₹,349",10kg + 1lt
Grocery & Staples,https://grofers.com/cn/grocery-staples/cid/16,4,Aashirvaad Shudh Chakki Whole Wheat Atta + B Natural Mixed Fruit Merry Juice Combo,18% OFF,"₹,429","₹,349",10kg + 1lt
Grocery & Staples,https://grofers.com/cn/grocery-staples/cid/16,5,Malka Masoor Dal,36% OFF,"₹,90","₹,57",1 kg
Fruits & Vegetables,https://grofers.com/cn/fruits-vegetables/cid/9,1,Alphonso Mango,16% OFF,"₹,420","₹,349",6 units
Grocery & Staples,https://grofers.com/cn/grocery-staples/cid/16,6,Best Value Refined Sugar,28% OFF,"₹,275","₹,196",5 kg
Fruits & Vegetables,https://grofers.com/cn/fruits-vegetables/cid/9,2,Dasheri Mango,16% OFF,"₹,420","₹,349",6 units
Grocery & Staples,https://grofers.com/cn/grocery-staples/cid/16,7,Best Value Arhar Dal/Toor Dal,37% OFF,"₹,120","₹,75",1 kg
Fruits & Vegetables,https://grofers.com/cn/fruits-vegetables/cid/9,3,Muskmelon,0,0,"₹,45",1 unit (0.8-1.2 kg)
Grocery & Staples,https://grofers.com/cn/grocery-staples/cid/16,8,Best Value Chilka Green Moong Dal,30% OFF,"₹,120","₹,84",1 kg
Fruits & Vegetables,https://grofers.com/cn/fruits-vegetables/cid/9,4,Kesar Mango,16% OFF,"₹,420","₹,349",6 units
Grocery & Staples,https://grofers.com/cn/grocery-staples/cid/16,9,Best Value Dhuli Yellow Moong Dal,25% OFF,"₹,120","₹,89",1 kg
Fruits & Vegetables,https://grofers.com/cn/fruits-vegetables/cid/9,5,Pairi Mango,22% OFF,"₹,320","₹,249",6 units
Grocery & Staples,https://grofers.com/cn/grocery-staples/cid/16,10,Best Value Fine Besan,51% OFF,"₹,80","₹,39",500 gm
Fruits & Vegetables,https://grofers.com/cn/fruits-vegetables/cid/9,6,Safeda Mango,17% OFF,"₹,120","₹,99",3 units
Household Needs,https://grofers.com/cn/household-needs/cid/18,1,SaveMore Liquid Toilet Cleaner - Buy 1 Get 1 Free,50% OFF,"₹,156","₹,78",2x500 ml
Grocery & Staples,https://grofers.com/cn/grocery-staples/cid/16,11,Best Value Sooji/Rava,33% OFF,"₹,30","₹,20",500 gm
Breakfast & Dairy,https://grofers.com/cn/breakfast-dairy/cid/14,1,SaveMore Corn Flakes (Pouch) - Buy 1 Get 1 Free,50% OFF,"₹,344","₹,172",2x500 gm
Fruits & Vegetables,https://grofers.com/cn/fruits-vegetables/cid/9,7,Sindhura Mango,22% OFF,"₹,320","₹,249",6 units
Household Needs,https://grofers.com/cn/household-needs/cid/18,2,SaveMore Lemon Dishwashing Liquid - Buy 1 Get 1 Free,50% OFF,"₹,330","₹,165",2x750 ml
Grocery & Staples,https://grofers.com/cn/grocery-staples/cid/16,12,Best Value Thick Poha,25% OFF,"₹,35","₹,26",500 gm
Breakfast & Dairy,https://grofers.com/cn/breakfast-dairy/cid/14,2,Hen Fruit White Strong Eggs (Large) - Pack of 3,40% OFF,"₹,330","₹,195",3x10 units
Fruits & Vegetables,https://grofers.com/cn/fruits-vegetables/cid/9,8,Totapuri Mango,18% OFF,"₹,280","₹,229",6 units
Household Needs,https://grofers.com/cn/household-needs/cid/18,3,SaveMore Liquid Phenyl,56% OFF,"₹,64","₹,28",1 lt
Grocery & Staples,https://grofers.com/cn/grocery-staples/cid/16,13,Best Value Cumin Seeds/Jeera,39% OFF,"₹,220","₹,134",500 gm
Breakfast & Dairy,https://grofers.com/cn/breakfast-dairy/cid/14,3,Hen Fruit No Hatch Herbal Eggs - Pack of 3,30% OFF,"₹,210","₹,145",3x6 units
Fruits & Vegetables,https://grofers.com/cn/fruits-vegetables/cid/9,9,Coriander,20% OFF,"₹,5","₹,4",100 gm
Personal Care,https://grofers.com/cn/personal-care/cid/163,1,Dettol Deep Cleanse Soap - Pack of 2,50% OFF,"₹,102","₹,51",2x125 gm
Household Needs,https://grofers.com/cn/household-needs/cid/18,4,"Grofers Medium Garbage Bag (19x21"") - Buy 2 Get 1 Free",33% OFF,"₹,180","₹,120",3x30 units
Grocery & Staples,https://grofers.com/cn/grocery-staples/cid/16,14,Best Value Kala Chana/Brown Chana,46% OFF,"₹,60","₹,32",500 gm
Breakfast & Dairy,https://grofers.com/cn/breakfast-dairy/cid/14,4,Alphonso Mango,16% OFF,"₹,420","₹,349",6 units
Fruits & Vegetables,https://grofers.com/cn/fruits-vegetables/cid/9,10,Cauliflower,0,0,"₹,24",500-700 gm
Personal Care,https://grofers.com/cn/personal-care/cid/163,2,Savlon Moisture Shield Handwash (Refill),24% OFF,"₹,99","₹,75",750 ml
Household Needs,https://grofers.com/cn/household-needs/cid/18,5,Grofers Dishwash Bar (Tub) - Pack of 3,29% OFF,"₹,141","₹,99",3x500 gm
Grocery & Staples,https://grofers.com/cn/grocery-staples/cid/16,15,Best Value Chitra White Rajma,40% OFF,"₹,90","₹,54",500 gm
Breakfast & Dairy,https://grofers.com/cn/breakfast-dairy/cid/14,5,Dasheri Mango,16% OFF,"₹,420","₹,349",6 units
Fruits & Vegetables,https://grofers.com/cn/fruits-vegetables/cid/9,11,Onion,10% OFF,"₹,100","₹,90",5 kg
Furnishing & Home Needs,https://grofers.com/cn/furnishing-home-needs/cid/1379,1,Grofers 2 Ply Kitchen Towel (60 Pulls),34% OFF,"₹,75","₹,49",1 unit
Home & Kitchen,https://grofers.com/cn/home-kitchen/cid/1047,1,Grofers 2 Ply Kitchen Towel (60 Pulls),34% OFF,"₹,75","₹,49",1 unit
Personal Care,https://grofers.com/cn/personal-care/cid/163,3,Savlon Herbal Sensitive Handwash (Refill),24% OFF,"₹,99","₹,75",750 ml
Household Needs,https://grofers.com/cn/household-needs/cid/18,6,Vim Lemon Dishwash Bar - Pack of 3,12% OFF,"₹,40","₹,35",3x200 gm
Grocery & Staples,https://grofers.com/cn/grocery-staples/cid/16,16,Best Value Kashmiri Black Rajma,29% OFF,"₹,120","₹,85",1 kg
Breakfast & Dairy,https://grofers.com/cn/breakfast-dairy/cid/14,6,Best Value White Eggs,51% OFF,"₹,100","₹,49",10 units
Fruits & Vegetables,https://grofers.com/cn/fruits-vegetables/cid/9,12,Kiran Watermelon,0,0,"₹,30",1 unit (1.75-2.75 kg)
Furnishing & Home Needs,https://grofers.com/cn/furnishing-home-needs/cid/1379,2,Sattva EVSBRP Bean Bag Refill (White) - Pack of 2,83% OFF,"₹,2298","₹,389",2x500 gm
Home & Kitchen,https://grofers.com/cn/home-kitchen/cid/1047,2,Grofers Classy Pub 2 Pcs Beer Mug Set (500 ml),66% OFF,"₹,299","₹,99",1 unit
Personal Care,https://grofers.com/cn/personal-care/cid/163,4,Colgate MaxFresh Red Spicy Fresh Toothpaste,14% OFF,"₹,156","₹,133",300 gm
Household Needs,https://grofers.com/cn/household-needs/cid/18,7,All Out Ultra Mosquito Repellent (Refill),16% OFF,"₹,390","₹,325",6x45 ml
Baby & Kids,https://grofers.com/cn/baby-kids/cid/7,1,Pampers Baby Dry Pants Diaper (L) - Pack of 68,37% OFF,"₹,949","₹,596",68 units
Grocery & Staples,https://grofers.com/cn/grocery-staples/cid/16,17,Best Value Red Masoor Dal,53% OFF,"₹,65","₹,30",500 gm
Breakfast & Dairy,https://grofers.com/cn/breakfast-dairy/cid/14,7,Best Value Eggs (White),55% OFF,"₹,300","₹,133",30 units
Fruits & Vegetables,https://grofers.com/cn/fruits-vegetables/cid/9,13,New Potato,10% OFF,"₹,100","₹,90",5 kg
Furnishing & Home Needs,https://grofers.com/cn/furnishing-home-needs/cid/1379,3,Spaces Atrium 6 Pcs 434 GSM 100% Cotton Bath Towel Set (Lagoon Insignia Blue),57% OFF,"₹,1995","₹,849",1 unit
Beverages,https://grofers.com/cn/beverages/cid/12,1,Aashirvaad Shudh Chakki Whole Wheat Atta + B Natural Mango Magic Juice Combo,18% OFF,"₹,429","₹,349",10kg + 1lt
Home & Kitchen,https://grofers.com/cn/home-kitchen/cid/1047,3,Grofers Classy Pub 2 Pcs Beer Mug Set (400 ml),66% OFF,"₹,299","₹,99",1 unit
Personal Care,https://grofers.com/cn/personal-care/cid/163,5,Pantene Total Damage Care Shampoo,40% OFF,"₹,395","₹,237",675 ml
Household Needs,https://grofers.com/cn/household-needs/cid/18,8,Good Knight Advanced Activ+ Cartridge Twin Saver Mosquito Repellent (Refill),28% OFF,"₹,140","₹,100",2x45 ml
Baby & Kids,https://grofers.com/cn/baby-kids/cid/7,2,Pampers Baby Dry Pants Diaper (XL) - Pack of 58,36% OFF,"₹,949","₹,599",58 units
Grocery & Staples,https://grofers.com/cn/grocery-staples/cid/16,18,Best Value Sabut Black Masoor Dal,48% OFF,"₹,60","₹,31",500 gm
Breakfast & Dairy,https://grofers.com/cn/breakfast-dairy/cid/14,8,Kiran Watermelon,0,0,"₹,30",1 unit (1.75-2.75 kg)
Fruits & Vegetables,https://grofers.com/cn/fruits-vegetables/cid/9,14,Cucumber,0,0,"₹,10",1 kg
Furnishing & Home Needs,https://grofers.com/cn/furnishing-home-needs/cid/1379,4,Spaces Atrium 10 Pcs 434 GSM 100% Cotton Bath Towel Set (Lagoon Insignia Blue),59% OFF,"₹,2495","₹,999",1 unit
Beverages,https://grofers.com/cn/beverages/cid/12,2,Aashirvaad Shudh Chakki Whole Wheat Atta + B Natural Mixed Fruit Merry Juice Combo,18% OFF,"₹,429","₹,349",10kg + 1lt
"Biscuits, Snacks & Chocolates",https://grofers.com/cn/biscuits-snacks-chocolates/cid/13,1,Cornitos Sizzlin Jalapeno Nachos - Pack of 2,20% OFF,"₹,70","₹,56",2x60 gm
Home & Kitchen,https://grofers.com/cn/home-kitchen/cid/1047,4,"Dream Home 3369 6 Pcs Glass Set (350 ml, Transparent)",66% OFF,"₹,599","₹,199",1 unit
Personal Care,https://grofers.com/cn/personal-care/cid/163,6,Godrej Protekt Master Blaster Handwash (Refill),44% OFF,"₹,115","₹,64",750 ml
Household Needs,https://grofers.com/cn/household-needs/cid/18,9,Grofers Aluminium Foil - Pack of 2,60% OFF,"₹,138","₹,55",2x9 m
Baby & Kids,https://grofers.com/cn/baby-kids/cid/7,3,Pampers Baby Dry Pants Diaper (M) - Pack of 80,37% OFF,"₹,949","₹,596",80 units
Grocery & Staples,https://grofers.com/cn/grocery-staples/cid/16,19,Best Value Chana Dal,47% OFF,"₹,120","₹,63",1 kg
Breakfast & Dairy,https://grofers.com/cn/breakfast-dairy/cid/14,9,Amul Butter,6% OFF,"₹,225","₹,211",500 gm
Fruits & Vegetables,https://grofers.com/cn/fruits-vegetables/cid/9,15,Tomato - Hybrid,10% OFF,"₹,40","₹,36",2 kg
Furnishing & Home Needs,https://grofers.com/cn/furnishing-home-needs/cid/1379,5,Spaces Atrium 6 Pcs 434 GSM 100% Cotton Bath Towel Set (Rough Red & Green Flash),57% OFF,"₹,1995","₹,849",1 unit
"Noodles, Sauces & Instant Food",https://grofers.com/cn/noodles-sauces-instant-food/cid/15,1,Maggi Masala Noodles,43% OFF,"₹,86","₹,49",560 gm (Pack of 8)
"Meats, Frozen & Seafood",https://grofers.com/cn/meats-frozen-seafood/cid/4,1,Hen Fruit White Strong Eggs (Large) - Pack of 3,40% OFF,"₹,330","₹,195",3x10 units
Beverages,https://grofers.com/cn/beverages/cid/12,3,Mountain Dew Grip Soft Drink (Bottle),8% OFF,"₹,35","₹,32",600 ml
"Biscuits, Snacks & Chocolates",https://grofers.com/cn/biscuits-snacks-chocolates/cid/13,2,Cornitos Cheese & Herbs Nachos - Pack of 2,20% OFF,"₹,70","₹,56",2x60 gm
Home & Kitchen,https://grofers.com/cn/home-kitchen/cid/1047,5,"Dream Home 3370 6 Pcs Glass Set (350 ml, Transparent)",66% OFF,"₹,599","₹,199",1 unit
Personal Care,https://grofers.com/cn/personal-care/cid/163,7,Whisper Ultra Clean Sanitary Pads (XL+ Wings),34% OFF,"₹,399","₹,260",44 units
Household Needs,https://grofers.com/cn/household-needs/cid/18,10,"Grofers Small Garbage Bag (17x19"") - Buy 2 Get 1 Free",33% OFF,"₹,150","₹,100",3x30 units
Baby & Kids,https://grofers.com/cn/baby-kids/cid/7,4,MamyPoko Pants Extra Absorb Diaper (L) - Pack of 62,36% OFF,"₹,930","₹,595",62 units
Grocery & Staples,https://grofers.com/cn/grocery-staples/cid/16,20,Best Value Kabuli Chana,47% OFF,"₹,95","₹,50",500 gm
Breakfast & Dairy,https://grofers.com/cn/breakfast-dairy/cid/14,10,Kiwi - Imported,20% OFF,"₹,150","₹,120",6 units
Fruits & Vegetables,https://grofers.com/cn/fruits-vegetables/cid/9,16,Ginger (Adrak),15% OFF,"₹,20","₹,17",200 gm
Furnishing & Home Needs,https://grofers.com/cn/furnishing-home-needs/cid/1379,6,Spaces Atrium 6 Pcs 434 GSM 100% Cotton Bath Towel Set (Directoire Blue & Orange),57% OFF,"₹,1995","₹,849",1 unit
"Noodles, Sauces & Instant Food",https://grofers.com/cn/noodles-sauces-instant-food/cid/15,2,Maggi Vegetable Atta Noodles,20% OFF,"₹,75","₹,60",300 gm
"Meats, Frozen & Seafood",https://grofers.com/cn/meats-frozen-seafood/cid/4,2,Carnivore Seekh Kebab - Chicken,10% OFF,"₹,230","₹,207",500 gm
Pet Care,https://grofers.com/cn/pet-care/cid/5,1,Pedigree Chicken & Liver Chunks in Gravy Wet Food (Adult) - Pack of 3,14% OFF,"₹,90","₹,77",3x80 gm
Beverages,https://grofers.com/cn/beverages/cid/12,4,7UP Nimbooz Soft Drink (Bottle) - Pack of 6,10% OFF,"₹,120","₹,108",6x330 ml
"Biscuits, Snacks & Chocolates",https://grofers.com/cn/biscuits-snacks-chocolates/cid/13,3,Best Value Red Raw Peanuts,43% OFF,"₹,90","₹,51",500 gm
Home & Kitchen,https://grofers.com/cn/home-kitchen/cid/1047,6,"Dream Home 3371 6 Pcs Glass Set (350 ml, Transparent)",66% OFF,"₹,599","₹,199",1 unit
Personal Care,https://grofers.com/cn/personal-care/cid/163,8,Patanjali Dant Kanti Toothpaste,0,0,"₹,75",200 gm
Household Needs,https://grofers.com/cn/household-needs/cid/18,11,"SaveMore Medium Garbage Bag (19 x 21"") - Buy 1 Get 1 Free",50% OFF,"₹,110","₹,55",2x30 units
Baby & Kids,https://grofers.com/cn/baby-kids/cid/7,5,MamyPoko Pants Extra Absorb Diaper (M) - Pack of 74,33% OFF,"₹,930","₹,621",74 units
Grocery & Staples,https://grofers.com/cn/grocery-staples/cid/16,21,Best Value Dhuli White Urad Dal,52% OFF,"₹,80","₹,38",500 gm
Breakfast & Dairy,https://grofers.com/cn/breakfast-dairy/cid/14,11,Mother Dairy Paneer,0,"₹,65","₹,64",200 gm
Fruits & Vegetables,https://grofers.com/cn/fruits-vegetables/cid/9,17,Lemon,0,0,"₹,30",6 units
Furnishing & Home Needs,https://grofers.com/cn/furnishing-home-needs/cid/1379,7,Spaces Atrium 10 Pcs 434 GSM 100% Cotton Bath Towel Set (Mustard Yellow & Grey),59% OFF,"₹,2495","₹,999",1 unit
"Noodles, Sauces & Instant Food",https://grofers.com/cn/noodles-sauces-instant-food/cid/15,3,Sunfeast Yippee Magic Masala Noodles,25% OFF,"₹,67","₹,50",360 gm
"Meats, Frozen & Seafood",https://grofers.com/cn/meats-frozen-seafood/cid/4,3,Carnivore Seekh Kebab (Lime Pudina) - Chicken,10% OFF,"₹,240","₹,216",500 gm
Pet Care,https://grofers.com/cn/pet-care/cid/5,2,Pedigree Chicken & Milk Dry Food (Puppy) - Free Pedigree Chicken Chunks in Gravy Wet Food (Puppy),11% OFF,"₹,270","₹,240",1.2kg + 80gm
Beverages,https://grofers.com/cn/beverages/cid/12,5,Pepsi Soft Drink (Bottle),5% OFF,"₹,35","₹,33",600 ml
"Biscuits, Snacks & Chocolates",https://grofers.com/cn/biscuits-snacks-chocolates/cid/13,4,Parle-G Original Gluco Biscuit,6% OFF,"₹,60","₹,56",800 gm
Home & Kitchen,https://grofers.com/cn/home-kitchen/cid/1047,7,"Dream Home 3372 6 Pcs Glass Set (350 ml, Transparent)",66% OFF,"₹,599","₹,199",1 unit
Personal Care,https://grofers.com/cn/personal-care/cid/163,9,Godrej Protekt Masterchef's Handwash (Refill) + 8 Hour Germ Protection Hand Sanitizer (Spray) Combo,0,"₹,165","₹,162",750ml + 30ml
Household Needs,https://grofers.com/cn/household-needs/cid/18,12,"SaveMore Small Garbage Bag (17 x 19"") - Buy 1 Get 1 Free",50% OFF,"₹,90","₹,45",2x30 units
Baby & Kids,https://grofers.com/cn/baby-kids/cid/7,6,MamyPoko Pants Extra Absorb Diaper (XL) - Pack of 54,30% OFF,"₹,930","₹,650",54 units
Grocery & Staples,https://grofers.com/cn/grocery-staples/cid/16,22,Best Value Sabut Black Urad Dal,51% OFF,"₹,80","₹,39",500 gm
Breakfast & Dairy,https://grofers.com/cn/breakfast-dairy/cid/14,12,Papaya,0,0,"₹,60",1 unit (1.5-2 kg)
Fruits & Vegetables,https://grofers.com/cn/fruits-vegetables/cid/9,18,Green Peas,15% OFF,"₹,100","₹,85",1 kg
Furnishing & Home Needs,https://grofers.com/cn/furnishing-home-needs/cid/1379,8,Spaces Atrium 6 Pcs 434 GSM 100% Cotton Bath Towel Set (Mustard Yellow & Grey),57% OFF,"₹,1995","₹,849",1 unit
"Noodles, Sauces & Instant Food",https://grofers.com/cn/noodles-sauces-instant-food/cid/15,4,Carnivore Seekh Kebab - Chicken,10% OFF,"₹,230","₹,207",500 gm
"Meats, Frozen & Seafood",https://grofers.com/cn/meats-frozen-seafood/cid/4,4,Carnivore Seekh Kebab (Malai Cheese) - Chicken,10% OFF,"₹,260","₹,234",500 gm
Pet Care,https://grofers.com/cn/pet-care/cid/5,3,Pedigree Chicken & Vegetables Dry Food (Adult) - Free Pedigree Chicken & Liver Chunks in Gravy Wet Food (Adult),11% OFF,"₹,260","₹,230",1.2kg + 80gm
Beverages,https://grofers.com/cn/beverages/cid/12,6,Tata Premium Tea (Pouch),30% OFF,"₹,310","₹,217",1 kg
"Biscuits, Snacks & Chocolates",https://grofers.com/cn/biscuits-snacks-chocolates/cid/13,5,Britannia Toastea Premium Bake Rusk,12% OFF,"₹,40","₹,35",300 gm
Home & Kitchen,https://grofers.com/cn/home-kitchen/cid/1047,8,Orka Candy Beans Round Bean Bag Refill (White),37% OFF,"₹,399","₹,249",500 gm
Personal Care,https://grofers.com/cn/personal-care/cid/163,10,Godrej Protekt Masterchef's Handwash (Refill),44% OFF,"₹,115","₹,64",750 ml
Household Needs,https://grofers.com/cn/household-needs/cid/18,13,Tide Plus Extra Power Lemon & Mint Detergent Powder,8% OFF,"₹,94","₹,86",1 kg
Baby & Kids,https://grofers.com/cn/baby-kids/cid/7,7,Himalaya Baby Powder,25% OFF,"₹,176","₹,132",400 gm
Grocery & Staples,https://grofers.com/cn/grocery-staples/cid/16,23,Best Value Red Raw Peanuts,43% OFF,"₹,90","₹,51",500 gm
Breakfast & Dairy,https://grofers.com/cn/breakfast-dairy/cid/14,13,Best Value Sabudana,25% OFF,"₹,70","₹,52",500 gm
Fruits & Vegetables,https://grofers.com/cn/fruits-vegetables/cid/9,19,Large Round Brinjal (Bharta),0,0,"₹,20",1 unit (400-600 gm)
Furnishing & Home Needs,https://grofers.com/cn/furnishing-home-needs/cid/1379,9,Eurospa Elegance 2 Pcs 100% Cotton Hand Towel Set (Aqua),60% OFF,"₹,199","₹,79",1 unit
"Noodles, Sauces & Instant Food",https://grofers.com/cn/noodles-sauces-instant-food/cid/15,5,Carnivore Punjabi Seekh Kebab - Chicken,10% OFF,"₹,260","₹,234",500 gm
"Meats, Frozen & Seafood",https://grofers.com/cn/meats-frozen-seafood/cid/4,5,Carnivore Punjabi Seekh Kebab - Chicken,10% OFF,"₹,260","₹,234",500 gm
Pet Care,https://grofers.com/cn/pet-care/cid/5,4,Pedigree Meat & Rice Dry Food (Adult) - Free Pedigree Chicken & Liver Chunks in Gravy Wet Food (Adult),11% OFF,"₹,260","₹,230",1.2kg + 80gm
Beverages,https://grofers.com/cn/beverages/cid/12,7,Coca-Cola Soft Drink (Bottle),31% OFF,"₹,35","₹,24",600 ml
"Biscuits, Snacks & Chocolates",https://grofers.com/cn/biscuits-snacks-chocolates/cid/13,6,Parle Hide & Seek Bourbon Black Vanilla creme Biscuit - Buy 3 Get 1 Free,25% OFF,"₹,100","₹,75",4x100 gm
Home & Kitchen,https://grofers.com/cn/home-kitchen/cid/1047,9,Rajrani Grass Stick Broom - Pack of 2,52% OFF,"₹,198","₹,95",2x1 unit
Personal Care,https://grofers.com/cn/personal-care/cid/163,11,Pears Pure & Gentle Soap,0,"₹,164","₹,157",3x125 gm
Household Needs,https://grofers.com/cn/household-needs/cid/18,14,Patanjali Super Dishwash Bar - Pack of 4,0,0,"₹,40",4x175 gm
Baby & Kids,https://grofers.com/cn/baby-kids/cid/7,8,Luv Lap Paraben Free Wet Baby Wipes,25% OFF,"₹,99","₹,74",80 units
Grocery & Staples,https://grofers.com/cn/grocery-staples/cid/16,24,Best Value Maida,42% OFF,"₹,28","₹,16",500 gm
Breakfast & Dairy,https://grofers.com/cn/breakfast-dairy/cid/14,14,Muskmelon,0,0,"₹,45",1 unit (0.8-1.2 kg)
Fruits & Vegetables,https://grofers.com/cn/fruits-vegetables/cid/9,20,Green Capsicum,18% OFF,"₹,44","₹,36",500 gm
Furnishing & Home Needs,https://grofers.com/cn/furnishing-home-needs/cid/1379,10,Spaces Atrium 10 Pcs 434 GSM 100% Cotton Bath Towel Set (Directoire Blue & Orange),59% OFF,"₹,2495","₹,999",1 unit
"Noodles, Sauces & Instant Food",https://grofers.com/cn/noodles-sauces-instant-food/cid/15,6,Kissan Fresh Tomato Ketchup (Pouch),26% OFF,"₹,125","₹,92",950 gm
"Meats, Frozen & Seafood",https://grofers.com/cn/meats-frozen-seafood/cid/4,6,Best Value White Eggs,51% OFF,"₹,100","₹,49",10 units
Pet Care,https://grofers.com/cn/pet-care/cid/5,5,Pedigree Chicken & Liver Chunks in Gravy Wet Food (Adult) - Pack of 8,5% OFF,"₹,240","₹,226",8x80 gm
Beverages,https://grofers.com/cn/beverages/cid/12,8,Cadbury Bournvita Pro-Health Chocolate Health Drink (Jar),18% OFF,"₹,378","₹,307",1 kg
"Biscuits, Snacks & Chocolates",https://grofers.com/cn/biscuits-snacks-chocolates/cid/13,7,Glonuts American Almonds,34% OFF,"₹,125","₹,82",100 gm
Home & Kitchen,https://grofers.com/cn/home-kitchen/cid/1047,10,"Pronto Lima 6457 - BL 600D Polyester 4W Check-in Luggage Trolley Bag (68 cm Medium, Blue)",63% OFF,"₹,8376","₹,3099",1 unit
Personal Care,https://grofers.com/cn/personal-care/cid/163,12,Dove Beauty Cream Soap,0,"₹,172","₹,165",3x100 gm
Household Needs,https://grofers.com/cn/household-needs/cid/18,15,Harpic Power Original Toilet Cleaner,22% OFF,"₹,80","₹,62",500 ml
Baby & Kids,https://grofers.com/cn/baby-kids/cid/7,9,Dabur Lal Baby Massage Oil,20% OFF,"₹,170","₹,136",200 ml
Grocery & Staples,https://grofers.com/cn/grocery-staples/cid/16,25,Best Value Green Cardamom Whole/Elaichi,42% OFF,"₹,160","₹,92",50 gm
Breakfast & Dairy,https://grofers.com/cn/breakfast-dairy/cid/14,15,Sapota (Chikoo),18% OFF,"₹,50","₹,41",500 gm
Fruits & Vegetables,https://grofers.com/cn/fruits-vegetables/cid/9,21,Cabbage,0,0,"₹,10",1 unit (500-800 gm)
Furnishing & Home Needs,https://grofers.com/cn/furnishing-home-needs/cid/1379,11,Grofers Hollow Polyester Staple Fiber Pillow (White) - Pack of 4,58% OFF,"₹,1398","₹,587",1 unit
"Noodles, Sauces & Instant Food",https://grofers.com/cn/noodles-sauces-instant-food/cid/15,7,Best Value Cooking Soda - Pack of 2,5% OFF,"₹,20","₹,19",2x50 gm
"Meats, Frozen & Seafood",https://grofers.com/cn/meats-frozen-seafood/cid/4,7,Best Value Eggs (White),55% OFF,"₹,300","₹,133",30 units
Pet Care,https://grofers.com/cn/pet-care/cid/5,6,Pedigree Chicken Chunks in Gravy Wet Food (Puppy) - Pack of 8,5% OFF,"₹,240","₹,226",8x80 gm
Beverages,https://grofers.com/cn/beverages/cid/12,9,Tata Gold Tea (Pouch),17% OFF,"₹,216","₹,178",500 gm
"Biscuits, Snacks & Chocolates",https://grofers.com/cn/biscuits-snacks-chocolates/cid/13,8,Glonuts Green Raisins,59% OFF,"₹,245","₹,99",500 gm
Home & Kitchen,https://grofers.com/cn/home-kitchen/cid/1047,11,Grofers 2 Ply Paper Napkins (50 Pulls),34% OFF,"₹,58","₹,38",1 unit
