category_name,category_reference,item_id,item_name,offer,old_price,price,quantity
Personal Care,https://grofers.com/cn/personal-care/cid/163,13,Dabur Red Toothpaste,25% OFF,"₹,92","₹,69",200 gm
Household Needs,https://grofers.com/cn/household-needs/cid/18,16,Active Wheel 2 in 1 Clean & Fresh Detergent Powder,6% OFF,"₹,49","₹,46",1 kg
Baby & Kids,https://grofers.com/cn/baby-kids/cid/7,10,Johnson's Skincare Baby Wipes - Pack of 2,21% OFF,"₹,380","₹,297",2x80 units
Grocery & Staples,https://grofers.com/cn/grocery-staples/cid/16,26,Best Value Mix Dal,53% OFF,"₹,88","₹,41",500 gm
Breakfast & Dairy,https://grofers.com/cn/breakfast-dairy/cid/14,16,Robusta Banana,8% OFF,"₹,48","₹,44",6 units
Fruits & Vegetables,https://grofers.com/cn/fruits-vegetables/cid/9,22,Kiwi - Imported,20% OFF,"₹,150","₹,120",6 units
Furnishing & Home Needs,https://grofers.com/cn/furnishing-home-needs/cid/1379,12,Grofers 2 Ply Kitchen Towel - Pack of 2,35% OFF,"₹,140","₹,91",2x60units
"Noodles, Sauces & Instant Food",https://grofers.com/cn/noodles-sauces-instant-food/cid/15,8,Maggi Masala Noodles - Pack of 4,6% OFF,"₹,44","₹,41",4x70 gm
"Meats, Frozen & Seafood",https://grofers.com/cn/meats-frozen-seafood/cid/4,8,Best Value Curry Cut - Chicken,40% OFF,"₹,300","₹,179",1 kg
Pet Care,https://grofers.com/cn/pet-care/cid/5,7,Pedigree Chicken & Milk Dry Food (Puppy),10% OFF,"₹,1800","₹,1620",10 kg
Beverages,https://grofers.com/cn/beverages/cid/12,10,Tata Agni Tea (Pouch),24% OFF,"₹,58","₹,44",250 gm
"Biscuits, Snacks & Chocolates",https://grofers.com/cn/biscuits-snacks-chocolates/cid/13,9,Best Value Flax Seeds,40% OFF,"₹,25","₹,15",100 gm
Home & Kitchen,https://grofers.com/cn/home-kitchen/cid/1047,12,Grofers 2 Ply Kitchen Towel - Pack of 2,35% OFF,"₹,140","₹,91",2x60units
Personal Care,https://grofers.com/cn/personal-care/cid/163,14,Parachute Pure Coconut Oil,17% OFF,"₹,199","₹,165",500 ml
Household Needs,https://grofers.com/cn/household-needs/cid/18,17,Rin Detergent Bar,0,0,"₹,64",4x250 gm
Baby & Kids,https://grofers.com/cn/baby-kids/cid/7,11,Nestle Cerelac Multigrain & Fruits Stage 4 Fortified Baby Cereal (12 months+),0,0,"₹,239",300 gm
Grocery & Staples,https://grofers.com/cn/grocery-staples/cid/16,27,Best Value Ajwain Seeds,58% OFF,"₹,65","₹,27",100 gm
Breakfast & Dairy,https://grofers.com/cn/breakfast-dairy/cid/14,17,Quaker Oats,29% OFF,"₹,186","₹,131",1 kg
Fruits & Vegetables,https://grofers.com/cn/fruits-vegetables/cid/9,23,Pumpkin,0,0,"₹,10",500 gm
Furnishing & Home Needs,https://grofers.com/cn/furnishing-home-needs/cid/1379,13,Grofers 2 Ply Kitchen Towel - Pack of 4,35% OFF,"₹,240","₹,156",4x60 units
"Noodles, Sauces & Instant Food",https://grofers.com/cn/noodles-sauces-instant-food/cid/15,9,Maggi Hot & Sweet Tomato Chilli Sauce,15% OFF,"₹,152","₹,129",1 kg
"Meats, Frozen & Seafood",https://grofers.com/cn/meats-frozen-seafood/cid/4,9,Best Value Boneless - Chicken Breast,29% OFF,"₹,380","₹,269",1 kg
Pet Care,https://grofers.com/cn/pet-care/cid/5,8,Pedigree Chicken & Vegetable Dry Food (Adult),10% OFF,"₹,1650","₹,1485",10 kg
Beverages,https://grofers.com/cn/beverages/cid/12,11,Brooke Bond Taj Mahal Tea (Carton),6% OFF,"₹,210","₹,197",500 gm
"Biscuits, Snacks & Chocolates",https://grofers.com/cn/biscuits-snacks-chocolates/cid/13,10,Haldiram's Aloo Bhujia Namkeen,14% OFF,"₹,87","₹,74",400 gm
Home & Kitchen,https://grofers.com/cn/home-kitchen/cid/1047,13,Princeware 1706-LT Plastic Dustpan (Assorted),59% OFF,"₹,47","₹,19",1 unit
Personal Care,https://grofers.com/cn/personal-care/cid/163,15,Dettol Deep Cleanse Soap - Free Dettol Original Hand Sanitizer (Bottle),23% OFF,"₹,332","₹,255",5x125gm + 50ml
Household Needs,https://grofers.com/cn/household-needs/cid/18,18,Brown Coconut,0,0,"₹,45",1 unit
Baby & Kids,https://grofers.com/cn/baby-kids/cid/7,12,Johnson's Baby Shampoo,32% OFF,"₹,307","₹,207",475 ml
Grocery & Staples,https://grofers.com/cn/grocery-staples/cid/16,28,Best Value Powder Black Salt,40% OFF,"₹,10","₹,6",100 gm
Breakfast & Dairy,https://grofers.com/cn/breakfast-dairy/cid/14,18,Kajri Muskmelon,0,0,"₹,50",1 unit (700-1100 gm)
Fruits & Vegetables,https://grofers.com/cn/fruits-vegetables/cid/9,24,Mint Leaves (Pudina),20% OFF,"₹,5","₹,4",100 gm
Furnishing & Home Needs,https://grofers.com/cn/furnishing-home-needs/cid/1379,14,SaveMore Cabana Stripe 400 GSM Cotton Terry Bath Towel (Lemon),62% OFF,"₹,399","₹,149",1 unit
"Noodles, Sauces & Instant Food",https://grofers.com/cn/noodles-sauces-instant-food/cid/15,10,Best Value Elbow Macaroni,6% OFF,"₹,60","₹,56",500 gm
"Meats, Frozen & Seafood",https://grofers.com/cn/meats-frozen-seafood/cid/4,10,Top Fresh Frozen Green Peas - Buy 1 Get 1 Free,50% OFF,"₹,170","₹,85",2x500 gm
Pet Care,https://grofers.com/cn/pet-care/cid/5,9,Pedigree Meat Jerky Barbecue Chicken Treat,6% OFF,"₹,120","₹,112",80 gm
Beverages,https://grofers.com/cn/beverages/cid/12,12,Brooke Bond Red Label Tea (Zip Lock),21% OFF,"₹,350","₹,276",1 kg
"Biscuits, Snacks & Chocolates",https://grofers.com/cn/biscuits-snacks-chocolates/cid/13,11,Parle Hide & Seek Fab Strawberry Choco Chip Creme Sandwich Cookie - Buy 2 Get 1 Free,33% OFF,"₹,75","₹,50",3x100 gm
Home & Kitchen,https://grofers.com/cn/home-kitchen/cid/1047,14,Shagun 2 In 1 S-79 Sponge Scrub (3 Pcs Set),42% OFF,"₹,50","₹,29",1 unit
Personal Care,https://grofers.com/cn/personal-care/cid/163,16,Pears Pure & Gentle Shower Gel,54% OFF,"₹,185","₹,84",250 ml
Household Needs,https://grofers.com/cn/household-needs/cid/18,19,Surf Excel Easy Wash Detergent Powder,14% OFF,"₹,448","₹,383",4 kg
Baby & Kids,https://grofers.com/cn/baby-kids/cid/7,13,Colgate Bubble Fruit Kids Toothpaste,14% OFF,"₹,35","₹,30",40 gm
Grocery & Staples,https://grofers.com/cn/grocery-staples/cid/16,29,Best Value Red Chilli Whole,48% OFF,"₹,35","₹,18",100 gm
Breakfast & Dairy,https://grofers.com/cn/breakfast-dairy/cid/14,19,Brown Coconut,0,0,"₹,45",1 unit
Fruits & Vegetables,https://grofers.com/cn/fruits-vegetables/cid/9,25,Lady Finger,14% OFF,"₹,50","₹,43",500 gm
Furnishing & Home Needs,https://grofers.com/cn/furnishing-home-needs/cid/1379,15,Gala Microfiber Duster (Blue),15% OFF,"₹,140","₹,119",1 unit
"Noodles, Sauces & Instant Food",https://grofers.com/cn/noodles-sauces-instant-food/cid/15,11,Bambino Roasted Vermicelli,10% OFF,"₹,50","₹,45",400 gm
"Meats, Frozen & Seafood",https://grofers.com/cn/meats-frozen-seafood/cid/4,11,Best Value White Eggs - Pack of 5,51% OFF,"₹,300","₹,145",5x6 units
Pet Care,https://grofers.com/cn/pet-care/cid/5,10,Pedigree Meat & Rice Dry Food (Adult),10% OFF,"₹,1650","₹,1485",10 kg
Beverages,https://grofers.com/cn/beverages/cid/12,13,Brooke Bond Red Label Natural Care Tea (Carton),26% OFF,"₹,240","₹,177",500 gm
"Biscuits, Snacks & Chocolates",https://grofers.com/cn/biscuits-snacks-chocolates/cid/13,12,Parle Hide & Seek Fab Vanilla Choco Chip Creme Sandwich Cookie - Buy 2 Get 1 Free,33% OFF,"₹,75","₹,50",3x100 gm
Home & Kitchen,https://grofers.com/cn/home-kitchen/cid/1047,15,Rajrani Grass Stick Broom,49% OFF,"₹,99","₹,50",1 unit
Personal Care,https://grofers.com/cn/personal-care/cid/163,17,Closeup Ever Fresh Red Hot Gel Toothpaste,20% OFF,"₹,153","₹,121",300 gm
Household Needs,https://grofers.com/cn/household-needs/cid/18,20,SaveMore Lime Dishwash Gel - Buy 1 Get 1 Free,50% OFF,"₹,330","₹,165",2x750 ml
Baby & Kids,https://grofers.com/cn/baby-kids/cid/7,14,Dettol Fresh Fragrance/Lime Fresh Disinfectant,32% OFF,"₹,165","₹,111",500 ml
Grocery & Staples,https://grofers.com/cn/grocery-staples/cid/16,30,Best Value Coriander Seeds/Dhania,51% OFF,"₹,60","₹,29",200 gm
Breakfast & Dairy,https://grofers.com/cn/breakfast-dairy/cid/14,20,Amul Garlic & Herbs Butter,10% OFF,"₹,47","₹,42",100 gm
Fruits & Vegetables,https://grofers.com/cn/fruits-vegetables/cid/9,26,Papaya,0,0,"₹,60",1 unit (1.5-2 kg)
Furnishing & Home Needs,https://grofers.com/cn/furnishing-home-needs/cid/1379,16,Orka Candy Beans Round Bean Bag Refill (White),37% OFF,"₹,399","₹,249",500 gm
"Noodles, Sauces & Instant Food",https://grofers.com/cn/noodles-sauces-instant-food/cid/15,12,Del Monte Tomato Ketchup (Pouch),43% OFF,"₹,125","₹,71",1 kg
"Meats, Frozen & Seafood",https://grofers.com/cn/meats-frozen-seafood/cid/4,12,Hen Fruit White Eggs (Large),36% OFF,"₹,55","₹,35",6 units
Pet Care,https://grofers.com/cn/pet-care/cid/5,11,Pedigree Chicken & Vegetables Dry Food (Adult),10% OFF,"₹,1050","₹,945",6 kg
Beverages,https://grofers.com/cn/beverages/cid/12,14,Thums Up Soft Drink (Bottle),8% OFF,"₹,35","₹,32",600 ml
"Biscuits, Snacks & Chocolates",https://grofers.com/cn/biscuits-snacks-chocolates/cid/13,13,Oreo Choco Creme Biscuit - Buy 4 Get 1 Free,20% OFF,"₹,150","₹,120",5x120 gm
Home & Kitchen,https://grofers.com/cn/home-kitchen/cid/1047,16,Grofers 2 Ply Kitchen Towel - Pack of 4,35% OFF,"₹,240","₹,156",4x60 units
Personal Care,https://grofers.com/cn/personal-care/cid/163,18,Colgate Strong Teeth Toothpaste,10% OFF,"₹,168","₹,151",500 gm
Household Needs,https://grofers.com/cn/household-needs/cid/18,21,Vim Lemon Dishwash Bar - Pack of 4,5% OFF,"₹,40","₹,38",4x120 gm
Baby & Kids,https://grofers.com/cn/baby-kids/cid/7,15,Johnson's Milk Baby Soap,8% OFF,"₹,45","₹,41",75 gm
Grocery & Staples,https://grofers.com/cn/grocery-staples/cid/16,31,Best Value Methi Seeds,59% OFF,"₹,22","₹,9",100 gm
Breakfast & Dairy,https://grofers.com/cn/breakfast-dairy/cid/14,21,Amul Cheese Slices,5% OFF,"₹,118","₹,112",200 gm
Fruits & Vegetables,https://grofers.com/cn/fruits-vegetables/cid/9,27,Desi Tomato,0,0,"₹,25",1 kg
Furnishing & Home Needs,https://grofers.com/cn/furnishing-home-needs/cid/1379,17,Classic Premium Kitchen Tissue Roll,26% OFF,"₹,75","₹,55",1 unit
"Noodles, Sauces & Instant Food",https://grofers.com/cn/noodles-sauces-instant-food/cid/15,13,Top Fresh Frozen Green Peas - Buy 1 Get 1 Free,50% OFF,"₹,170","₹,85",2x500 gm
"Meats, Frozen & Seafood",https://grofers.com/cn/meats-frozen-seafood/cid/4,13,Best Value Boneless - Chicken Breast,27% OFF,"₹,200","₹,145",500 gm
Pet Care,https://grofers.com/cn/pet-care/cid/5,12,Pedigree Chicken in Jelly Wet Food (Adult),6% OFF,"₹,150","₹,140",400 gm
Beverages,https://grofers.com/cn/beverages/cid/12,15,Limca Soft Drink (Bottle),6% OFF,"₹,60","₹,56",1.25 lt
"Biscuits, Snacks & Chocolates",https://grofers.com/cn/biscuits-snacks-chocolates/cid/13,14,Britannia Marie Gold Biscuit - Pack of 3,6% OFF,"₹,30","₹,28",3x68 gm
Home & Kitchen,https://grofers.com/cn/home-kitchen/cid/1047,17,"Princeware 2621 P Printed Mug (1 lt, Assorted)",57% OFF,"₹,45","₹,19",1 unit
Personal Care,https://grofers.com/cn/personal-care/cid/163,19,Cinthol Fresh Lime Soap - Buy 4 Get 1 Free,15% OFF,"₹,108","₹,91",5x100 gm
Household Needs,https://grofers.com/cn/household-needs/cid/18,22,Home Foil Aluminium Foil - Buy 1 Get 1 Free,50% OFF,"₹,258","₹,129",2x21 m
Baby & Kids,https://grofers.com/cn/baby-kids/cid/7,16,Himalaya Baby Lotion,25% OFF,"₹,240","₹,180",400 ml
Grocery & Staples,https://grofers.com/cn/grocery-staples/cid/16,32,Best Value Sabut Green Moong Dal,31% OFF,"₹,120","₹,82",1 kg
Breakfast & Dairy,https://grofers.com/cn/breakfast-dairy/cid/14,22,Pomegranate (Anaar),25% OFF,"₹,300","₹,225",6 units (1.1-1.4 kg)
Fruits & Vegetables,https://grofers.com/cn/fruits-vegetables/cid/9,28,Beetroot (Chukandar),0,0,"₹,10",250 gm
Furnishing & Home Needs,https://grofers.com/cn/furnishing-home-needs/cid/1379,18,Rio Floor Cotton Yarn Duster,10% OFF,"₹,49","₹,44",1 unit
"Noodles, Sauces & Instant Food",https://grofers.com/cn/noodles-sauces-instant-food/cid/15,14,Kissan Mixed Fruit Jam,6% OFF,"₹,60","₹,56",200 gm
"Meats, Frozen & Seafood",https://grofers.com/cn/meats-frozen-seafood/cid/4,14,Best Value Boneless (Diced) - Chicken Breast,0,0,"₹,155",500 gm
Pet Care,https://grofers.com/cn/pet-care/cid/5,13,Pedigree Jumbone Chicken & Rice Chew Bar Treat (M),15% OFF,"₹,120","₹,102",200 gm
Beverages,https://grofers.com/cn/beverages/cid/12,16,Brooke Bond Red Label Tea (Carton),6% OFF,"₹,95","₹,89",250 gm
"Biscuits, Snacks & Chocolates",https://grofers.com/cn/biscuits-snacks-chocolates/cid/13,15,Lijjat Punjabi Masala Papad,10% OFF,"₹,60","₹,54",200 gm
Home & Kitchen,https://grofers.com/cn/home-kitchen/cid/1047,18,A One Garbage Bag (Medium),15% OFF,"₹,165","₹,139",120 units
Personal Care,https://grofers.com/cn/personal-care/cid/163,20,Stayfree Dry Max All Night Sanitary Napkin (Extra Large Wings),36% OFF,"₹,330","₹,208",28 units
Household Needs,https://grofers.com/cn/household-needs/cid/18,23,Vim Lemon Dishwash Gel (Bottle) - Pack of 2,20% OFF,"₹,310","₹,248",2x750 ml
Baby & Kids,https://grofers.com/cn/baby-kids/cid/7,17,Himalaya Gentle Baby Shampoo,21% OFF,"₹,260","₹,203",400 ml
Grocery & Staples,https://grofers.com/cn/grocery-staples/cid/16,33,Best Value Black Peppercorns/Kali Mirch,37% OFF,"₹,145","₹,90",100 gm
Breakfast & Dairy,https://grofers.com/cn/breakfast-dairy/cid/14,23,Yakult Probiotic Health Drink,0,0,"₹,60",5x65 ml
Fruits & Vegetables,https://grofers.com/cn/fruits-vegetables/cid/9,29,Ooty Carrot,0,0,"₹,18",500 gm
Furnishing & Home Needs,https://grofers.com/cn/furnishing-home-needs/cid/1379,19,Eurospa Elegance 6 Pcs 100% Cotton Face Towel Set (Magenta),60% OFF,"₹,199","₹,79",1 unit
"Noodles, Sauces & Instant Food",https://grofers.com/cn/noodles-sauces-instant-food/cid/15,15,Bambino Pep Elbows Macaroni,6% OFF,"₹,43","₹,40",400 gm
"Meats, Frozen & Seafood",https://grofers.com/cn/meats-frozen-seafood/cid/4,15,Top Fresh Sweet Corn - Buy 1 Get 1 Free,50% OFF,"₹,180","₹,90",2x500 gm
Pet Care,https://grofers.com/cn/pet-care/cid/5,14,Pedigree 7 Pcs Dentastix Small Breed Treat,6% OFF,"₹,120","₹,112",110 gm
Beverages,https://grofers.com/cn/beverages/cid/12,17,Real Fruit Power Mixed Fruit Juice - Pack of 6,16% OFF,"₹,120","₹,100",6x200 ml
"Biscuits, Snacks & Chocolates",https://grofers.com/cn/biscuits-snacks-chocolates/cid/13,16,Haldiram's Bhelpuri Namkeen,7% OFF,"₹,42","₹,39",200 gm
Home & Kitchen,https://grofers.com/cn/home-kitchen/cid/1047,19,Rio Grass Broom,10% OFF,"₹,120","₹,108",1 unit
Personal Care,https://grofers.com/cn/personal-care/cid/163,21,Dettol Antiseptic Liquid,0,0,"₹,133",500 ml
Household Needs,https://grofers.com/cn/household-needs/cid/18,24,SaveMore Citrus Floor Cleaner - Buy 1 Get 1 Free,50% OFF,"₹,316","₹,158",2x1 lt
Baby & Kids,https://grofers.com/cn/baby-kids/cid/7,18,Colgate Barbie Strawberry Baby Toothpaste,15% OFF,"₹,79","₹,67",80 gm
Grocery & Staples,https://grofers.com/cn/grocery-staples/cid/16,34,Aashirvaad Shudh Chakki Whole Wheat Atta,13% OFF,"₹,330","₹,284",10 kg
Breakfast & Dairy,https://grofers.com/cn/breakfast-dairy/cid/14,24,Best Value Big Sabudana,17% OFF,"₹,70","₹,58",500 gm
Fruits & Vegetables,https://grofers.com/cn/fruits-vegetables/cid/9,30,Garlic (Lehsun),20% OFF,"₹,20","₹,16",200 gm
Furnishing & Home Needs,https://grofers.com/cn/furnishing-home-needs/cid/1379,20,Ruby Kitchen Cleaner Duster,6% OFF,"₹,60","₹,56",3 units
"Noodles, Sauces & Instant Food",https://grofers.com/cn/noodles-sauces-instant-food/cid/15,16,Best Value Vermicelli,6% OFF,"₹,50","₹,47",500 gm
"Meats, Frozen & Seafood",https://grofers.com/cn/meats-frozen-seafood/cid/4,16,Best Value Surmai (Steak) - Fish,5% OFF,"₹,315","₹,299",500 gm
Pet Care,https://grofers.com/cn/pet-care/cid/5,15,Pedigree Chicken Chunks in Gravy Wet Food (Puppy),6% OFF,"₹,30","₹,28",80 gm
Beverages,https://grofers.com/cn/beverages/cid/12,18,Maaza Mango Fruit Drink (Bottle),7% OFF,"₹,65","₹,60",1.2 lt
"Biscuits, Snacks & Chocolates",https://grofers.com/cn/biscuits-snacks-chocolates/cid/13,17,Glonuts Giri Walnuts,44% OFF,"₹,349","₹,194",200 gm
Home & Kitchen,https://grofers.com/cn/home-kitchen/cid/1047,20,Rio Plastic Sticks Broom,10% OFF,"₹,99","₹,89",1 unit
Personal Care,https://grofers.com/cn/personal-care/cid/163,22,Whisper Choice Sanitary Napkin,8% OFF,"₹,34","₹,31",8 units
Household Needs,https://grofers.com/cn/household-needs/cid/18,25,Tide Plus Extra Power Jasmine & Rose Detergent Powder,16% OFF,"₹,574","₹,480",6 kg
Baby & Kids,https://grofers.com/cn/baby-kids/cid/7,19,Colgate Extra Soft Green Kids Toothbrush (0 - 2 Years),14% OFF,"₹,28","₹,24",1 unit
Grocery & Staples,https://grofers.com/cn/grocery-staples/cid/16,35,Fortune Soya Health Refined Soyabean Oil (Pouch),25% OFF,"₹,120","₹,89",1 lt
Breakfast & Dairy,https://grofers.com/cn/breakfast-dairy/cid/14,25,Kissan Mixed Fruit Jam,6% OFF,"₹,60","₹,56",200 gm
Fruits & Vegetables,https://grofers.com/cn/fruits-vegetables/cid/9,31,Sapota (Chikoo),18% OFF,"₹,50","₹,41",500 gm
Furnishing & Home Needs,https://grofers.com/cn/furnishing-home-needs/cid/1379,21,Classic Kitchen Towel (Pack Of 2),26% OFF,"₹,140","₹,103",1 unit
"Noodles, Sauces & Instant Food",https://grofers.com/cn/noodles-sauces-instant-food/cid/15,17,Maggi Rich Tomato Ketchup,6% OFF,"₹,147","₹,138",1 kg
"Meats, Frozen & Seafood",https://grofers.com/cn/meats-frozen-seafood/cid/4,17,Best Value Rings (Cleaned) - Squid,0,"₹,370","₹,359",500 gm
Pet Care,https://grofers.com/cn/pet-care/cid/5,16,Whiskas Tuna in Jelly Wet Food (Adult) - Pack of 6,6% OFF,"₹,180","₹,169",6x85 gm
Beverages,https://grofers.com/cn/beverages/cid/12,19,Cadbury Bournvita Pro-Health Chocolate Health Drink (Refill),6% OFF,"₹,199","₹,187",500 gm
"Biscuits, Snacks & Chocolates",https://grofers.com/cn/biscuits-snacks-chocolates/cid/13,18,Parle Premium Real Elaichi Rusk - Pack of 2,10% OFF,"₹,60","₹,54",2x200 gm
Home & Kitchen,https://grofers.com/cn/home-kitchen/cid/1047,21,Shagun S-400 Grass Broom,46% OFF,"₹,109","₹,58",1 unit
Personal Care,https://grofers.com/cn/personal-care/cid/163,23,Patanjali Dant Kanti Regular Toothpaste,0,0,"₹,40",100 gm
Household Needs,https://grofers.com/cn/household-needs/cid/18,26,"Grofers Medium Garbage Bag (19x21"")",25% OFF,"₹,60","₹,45",30 units
Baby & Kids,https://grofers.com/cn/baby-kids/cid/7,20,Patanjali Junior Baby Toothbrush,0,0,"₹,15",1 unit
Grocery & Staples,https://grofers.com/cn/grocery-staples/cid/16,36,Tata Salt,10% OFF,"₹,19","₹,17",1 kg
Breakfast & Dairy,https://grofers.com/cn/breakfast-dairy/cid/14,26,Mother Dairy Curd (Polypack),0,0,"₹,25",400 gm
Fruits & Vegetables,https://grofers.com/cn/fruits-vegetables/cid/9,32,Colocasia (Arbi),0,0,"₹,18",250 gm
Furnishing & Home Needs,https://grofers.com/cn/furnishing-home-needs/cid/1379,22,Paseo Elegant 2 Ply Printed Kitchen Towel (60 Pulls),5% OFF,"₹,155","₹,146",60 units
"Noodles, Sauces & Instant Food",https://grofers.com/cn/noodles-sauces-instant-food/cid/15,18,Bambino Popular Vermicelli,10% OFF,"₹,70","₹,63",875 gm
"Meats, Frozen & Seafood",https://grofers.com/cn/meats-frozen-seafood/cid/4,18,Best Value Keema - Mutton,34% OFF,"₹,360","₹,235",500 gm
Pet Care,https://grofers.com/cn/pet-care/cid/5,17,Whiskas Tuna in Jelly Wet Food (Kitten) - Pack of 6,6% OFF,"₹,180","₹,169",6x85 gm
Beverages,https://grofers.com/cn/beverages/cid/12,20,Wagh Bakri Premium Tea (Pouch),6% OFF,"₹,100","₹,94",250 gm
"Biscuits, Snacks & Chocolates",https://grofers.com/cn/biscuits-snacks-chocolates/cid/13,19,Parle Hide & Seek Chocolate Chip Cookie,6% OFF,"₹,30","₹,28",120 gm
Home & Kitchen,https://grofers.com/cn/home-kitchen/cid/1047,22,Shagun SW-121 Wiper,41% OFF,"₹,149","₹,87",1 unit
Personal Care,https://grofers.com/cn/personal-care/cid/163,24,Himalaya Purifying Neem Face Wash,0,"₹,146","₹,139",150 ml
Household Needs,https://grofers.com/cn/household-needs/cid/18,27,Surf Excel Stain Eraser Detergent Bar,13% OFF,"₹,86","₹,74",4x200 gm
Baby & Kids,https://grofers.com/cn/baby-kids/cid/7,21,Himalaya Gentle Baby Wash,24% OFF,"₹,215","₹,163",400 ml
Grocery & Staples,https://grofers.com/cn/grocery-staples/cid/16,37,Fortune Premium Kachi Ghani Pure Mustard Oil (Bottle),27% OFF,"₹,142","₹,103",1 lt
Breakfast & Dairy,https://grofers.com/cn/breakfast-dairy/cid/14,27,Ananda Paneer,0,"₹,70","₹,69",200 gm
Fruits & Vegetables,https://grofers.com/cn/fruits-vegetables/cid/9,33,Bottle Gourd (Lauki),0,0,"₹,9",1 unit (400-600 gm)
Furnishing & Home Needs,https://grofers.com/cn/furnishing-home-needs/cid/1379,23,"Rupa Torrido Thermal Bottom (Medium, 85 cm, Dark Grey)",36% OFF,"₹,406","₹,259","Dark Grey, 85 cm"
"Noodles, Sauces & Instant Food",https://grofers.com/cn/noodles-sauces-instant-food/cid/15,19,Patanjali Honey,0,0,"₹,135",500 ml
"Meats, Frozen & Seafood",https://grofers.com/cn/meats-frozen-seafood/cid/4,19,Best Value Seekh Kebab (Malai) - Chicken,0,"₹,225","₹,220",500 gm
Pet Care,https://grofers.com/cn/pet-care/cid/5,18,Pedigree Chicken & Liver Chunks in Gravy Wet Food (Adult),6% OFF,"₹,30","₹,28",80 gm
Beverages,https://grofers.com/cn/beverages/cid/12,21,Paper Boat Aamras Fruit Drink,30% OFF,"₹,99","₹,69",1 lt
"Biscuits, Snacks & Chocolates",https://grofers.com/cn/biscuits-snacks-chocolates/cid/13,20,Bingo Mad Angles Achaari Masti Chips,5% OFF,"₹,20","₹,19",90 gm
Home & Kitchen,https://grofers.com/cn/home-kitchen/cid/1047,23,Ruby Floor Cloth,6% OFF,"₹,60","₹,56",2 units
Personal Care,https://grofers.com/cn/personal-care/cid/163,25,Nivea Men Fresh Active Original Men's Deodorant,30% OFF,"₹,190","₹,133",150 ml
Household Needs,https://grofers.com/cn/household-needs/cid/18,28,Colin 2x More Shine Glass Cleaner - Pack of 2,20% OFF,"₹,158","₹,126",2x500 ml
Baby & Kids,https://grofers.com/cn/baby-kids/cid/7,22,Nestle NAN Pro 2 Follow-Up Infant Formula (6 months+),0,0,"₹,530",400 gm
Grocery & Staples,https://grofers.com/cn/grocery-staples/cid/16,38,Milkfood Pure Ghee (Tetra Pak),22% OFF,"₹,450","₹,351",1 lt
Breakfast & Dairy,https://grofers.com/cn/breakfast-dairy/cid/14,28,Kinnaur Apple,15% OFF,"₹,200","₹,170",1-1.4 kg
Fruits & Vegetables,https://grofers.com/cn/fruits-vegetables/cid/9,34,Green Chilli,25% OFF,"₹,20","₹,15",200 gm
